timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 09:31:21,0.50,0.00,0.30,6.33,0.00,0.00,0.00,0.00,0.00,92.87,0.20,313.40,265.80,0.00,0.00,0.00,9246.40,564.20,0.00,3868.40,0.00,0.00,0.00,0.00,80.40,0.00,80.40,0.00,18492.80,2959492,0,895352,23.23,24580,231200,990616,25.70,734276,80544,60,559040,38232,1992,3416,10752,0,0,0.00,0,0.00,0,235,1.82,1.29,1.12,0,80.40,0.00,18492.80,230.01,18.56,230.80,1.83,14.72,3.00,4.20,0.31,0.58,0.00,0.00,0.00,0.00
2018-01-07 09:31:26,2.01,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,97.49,14.40,413.20,329.40,0.00,0.00,0.00,32.00,7738.80,0.00,2470.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,64.00,2955112,0,899732,23.34,24592,231228,996148,25.84,738584,80560,240,563336,38256,2016,3928,10752,0,0,0.00,0,0.00,0,238,1.68,1.27,1.12,0,0.80,0.00,64.00,80.00,0.00,0.00,0.00,0.00,7.40,9.00,1.60,1.65,0.00,0.00,0.00,0.00
2018-01-07 09:31:31,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,240.40,143.00,0.00,0.00,0.00,4.00,7.60,0.00,26.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,8.00,2955112,0,899732,23.34,24600,231252,996148,25.84,738584,80572,264,563336,38256,2016,3928,10752,0,0,0.00,0,0.00,0,238,1.54,1.25,1.11,0,0.60,0.00,8.00,13.33,0.00,0.00,0.00,0.00,2.80,4.20,0.23,0.79,0.00,0.00,0.00,0.00
2018-01-07 09:31:36,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,242.60,142.80,0.00,0.00,0.00,0.00,8.20,0.00,25.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2955112,0,899732,23.34,24600,231276,996148,25.84,738596,80592,288,563340,38256,2016,3928,10752,0,0,0.00,0,0.00,0,238,1.42,1.22,1.11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,3.80,0.21,0.68,0.00,0.00,0.00,0.00
2018-01-07 09:31:41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,237.00,142.80,0.00,0.00,0.00,10.40,7.60,0.00,34.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,20.80,2944872,0,909972,23.61,24612,231300,996148,25.84,748688,80608,328,573420,38256,2016,3928,10752,0,0,0.00,0,0.00,0,238,1.31,1.20,1.10,0,0.60,0.00,20.80,34.67,0.00,2.67,1.33,0.08,2.80,4.20,0.24,0.79,0.00,0.00,0.00,0.00
2018-01-07 09:31:46,1.72,0.00,0.61,0.00,0.20,0.00,0.20,0.00,0.00,97.27,3.60,1229.60,1385.20,0.00,0.00,0.00,0.00,493.00,0.00,1889.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2926332,0,928512,24.09,24612,249480,996148,25.84,749112,98672,18508,573808,38348,2056,3928,10752,0,0,0.00,0,0.00,0,243,1.20,1.18,1.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,431.80,245.60,3681.98,17.85,0.00,0.00,0.00,0.30
2018-01-07 09:31:51,0.41,0.00,0.10,0.20,0.00,0.00,0.20,0.00,0.00,99.09,0.00,1094.20,1102.80,0.00,0.00,0.00,65.60,9.00,0.00,770.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,131.20,2918132,0,936712,24.30,24620,257620,996148,25.84,749132,106856,26484,573816,38348,2056,3928,10752,0,0,0.00,0,0.00,0,242,1.11,1.16,1.09,0,2.00,0.00,131.20,65.60,0.00,2.40,2.40,0.48,188.80,156.60,1639.47,11.28,0.00,0.00,0.00,0.13
2018-01-07 09:31:56,0.51,0.00,0.00,0.10,0.10,0.00,0.10,0.00,0.00,99.19,0.00,1179.40,1262.20,0.00,0.00,0.00,8.80,8.20,0.00,895.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,2908800,0,946044,24.54,24628,267108,996148,25.84,749012,116312,35988,573684,38348,2040,3928,10752,0,0,0.00,0,0.00,0,241,1.02,1.14,1.08,0,0.40,0.00,17.60,44.00,0.00,2.00,2.00,0.08,218.60,189.60,1901.82,13.67,0.00,0.00,0.00,0.16
2018-01-07 09:32:01,0.71,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.89,0.00,1114.20,1119.60,0.00,0.00,0.00,42.40,7.60,0.00,862.20,0.00,0.00,0.00,0.00,7.80,0.00,7.80,0.00,84.80,2900996,0,953848,24.74,24636,275208,996148,25.84,749020,124460,43896,573684,38348,2040,3928,10752,0,0,0.00,0,0.00,0,241,0.94,1.13,1.08,0,7.80,0.00,84.80,10.87,0.00,0.00,0.00,0.00,186.40,169.60,1625.34,12.30,0.00,0.00,0.00,0.13
2018-01-07 09:32:06,0.61,0.00,0.30,0.40,0.10,0.00,0.00,0.00,0.00,98.58,0.00,1072.60,1067.00,0.00,0.00,0.00,7477.60,8.80,0.00,689.40,0.00,0.00,0.00,0.00,60.00,0.00,60.00,0.00,14955.20,2893820,0,961024,24.93,24644,282400,996148,25.84,749032,131656,13744,573684,38316,2040,3928,10752,0,0,0.00,0,0.00,0,241,0.86,1.11,1.07,0,60.00,0.00,14955.20,249.25,1.92,32.01,0.31,1.84,167.40,146.40,1447.57,10.63,0.00,0.00,0.00,0.12
2018-01-07 09:32:11,0.51,0.00,0.41,0.10,0.00,0.00,0.20,0.00,0.00,98.78,0.00,1341.40,1389.40,0.00,0.00,0.00,4426.40,9.20,0.00,1659.40,0.00,0.00,0.00,0.00,35.00,0.00,35.00,0.00,8852.80,2881372,0,973472,25.25,24652,293232,996148,25.84,750444,142324,2560,575084,38556,2008,3928,10752,0,0,0.00,0,0.00,1,237,0.79,1.09,1.06,0,35.00,0.00,8852.80,252.94,0.95,27.22,0.32,1.12,248.80,209.60,2165.95,15.01,0.00,0.00,0.00,0.18
2018-01-07 09:32:16,0.61,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.98,0.00,1292.60,1202.80,0.00,0.00,0.00,7.20,8.00,0.00,991.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,2870308,0,984536,25.54,24660,303700,996148,25.84,750464,153012,13028,575092,38816,2008,3928,10752,0,0,0.00,0,0.00,0,237,0.73,1.07,1.06,0,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,244.00,188.00,2123.69,13.39,0.00,0.00,0.00,0.17
2018-01-07 09:32:21,0.30,0.00,0.30,0.00,0.10,0.00,0.00,0.00,0.00,99.29,0.00,962.60,933.20,0.00,0.00,0.00,4.00,7.60,0.00,1106.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2859344,0,995500,25.82,24668,310072,996148,25.84,754792,159428,19400,579412,38988,2008,3928,10752,0,0,0.00,0,0.00,0,237,0.67,1.05,1.05,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,147.80,141.00,1285.50,10.29,0.00,0.00,0.00,0.11
2018-01-07 09:32:26,0.61,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.00,99.09,0.00,1061.40,1122.20,0.00,0.00,0.00,4.00,9.60,0.00,749.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2851516,0,1003328,26.03,24676,318080,996148,25.84,754836,167348,27404,579448,39196,2008,3928,10752,0,0,0.00,0,0.00,0,237,0.62,1.04,1.05,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,183.80,163.40,1595.46,11.92,0.00,0.00,0.00,0.13
2018-01-07 09:32:31,0.61,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,99.19,0.00,1078.00,1067.80,0.00,0.00,0.00,4.00,7.60,0.00,1481.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2842900,0,1011944,26.25,24684,325528,996148,25.84,755712,174748,34856,580308,39380,2008,3928,10752,0,0,0.00,0,0.00,0,237,0.57,1.02,1.04,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,172.40,158.20,1493.34,11.50,0.00,0.00,0.00,0.12
2018-01-07 09:32:36,0.30,0.00,0.20,0.00,0.10,0.00,0.30,0.00,0.00,99.09,0.00,1128.60,1126.60,0.00,0.00,0.00,11.20,8.60,0.00,815.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,22.40,2834172,0,1020672,26.48,24692,334148,996148,25.84,755724,183320,43460,580308,39600,2008,3928,10752,0,0,0.00,0,0.00,0,237,0.52,1.00,1.04,0,1.00,0.00,22.40,22.40,0.00,0.00,0.00,0.00,200.20,163.60,1739.83,11.71,0.00,0.00,0.00,0.14
2018-01-07 09:32:41,0.20,0.00,0.31,0.61,0.10,0.00,0.00,0.00,0.00,98.78,0.00,1167.60,1223.80,0.00,0.00,0.00,9901.60,8.00,0.00,802.40,0.00,0.00,0.00,0.00,79.60,0.00,79.60,0.00,19803.20,2825204,0,1029640,26.71,24704,342624,996148,25.84,755740,191808,2440,580312,39840,2008,3928,10752,0,0,0.00,0,0.00,0,237,0.48,0.98,1.03,0,79.60,0.00,19803.20,248.78,2.69,33.79,0.29,2.32,196.20,166.80,1704.62,12.05,0.00,0.00,0.00,0.14
2018-01-07 09:32:46,0.30,0.00,0.30,0.10,0.10,0.00,0.10,0.00,0.00,99.09,0.00,1200.80,1302.00,0.00,0.00,0.00,9.60,8.20,0.00,911.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,2815460,0,1039384,26.96,24712,352240,996148,25.84,755684,201484,12104,580244,40088,2000,3928,10752,0,0,0.00,0,0.00,0,236,0.44,0.97,1.02,0,0.40,0.00,19.20,48.00,0.00,2.00,2.00,0.08,223.00,189.60,1942.31,13.66,0.00,0.00,0.00,0.16
2018-01-07 09:32:51,0.41,0.00,0.30,0.00,0.10,0.00,0.10,0.00,0.00,99.09,0.00,1230.60,1156.60,0.00,0.00,0.00,4.80,8.00,0.00,1450.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,2806276,0,1048568,27.20,24720,361200,996148,25.84,755696,210520,21072,580244,40312,2000,3928,10752,0,0,0.00,0,0.00,0,236,0.41,0.95,1.02,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,205.60,168.40,1796.11,12.05,0.00,0.00,0.00,0.15
2018-01-07 09:32:56,0.72,0.00,1.14,0.00,0.31,0.00,1.03,0.00,0.00,96.80,0.00,3474.20,4410.60,0.00,0.00,0.00,4.80,8.60,0.00,4567.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,2755420,0,1099424,28.52,24728,410692,996148,25.84,755724,259932,70564,580260,41544,2000,3928,10752,0,0,0.00,0,0.00,0,236,0.37,0.94,1.01,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1137.60,637.00,9985.80,42.86,0.00,0.00,0.00,0.82
2018-01-07 09:33:01,0.51,0.00,0.41,0.00,0.10,0.00,0.00,0.00,0.00,98.98,0.00,1660.40,1722.40,0.00,0.00,0.00,4.00,7.80,0.00,1831.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2739648,0,1115196,28.93,24736,426152,996148,25.84,755732,275336,86024,580260,41976,2000,3928,10752,0,0,0.00,0,0.00,1,236,0.34,0.92,1.01,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,351.60,247.40,3077.96,17.33,0.00,0.00,0.00,0.25
2018-01-07 09:33:06,71.29,0.00,5.62,0.00,0.00,0.00,0.00,0.00,0.00,23.09,13.40,1329.00,1004.40,0.00,0.00,0.00,11.20,11831.00,0.00,13445.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,22.40,2528844,0,1326000,34.40,24744,428444,1430572,37.11,1062532,175788,196976,785232,44068,2272,5056,10752,0,0,0.00,0,0.00,6,274,0.64,0.97,1.02,0,1.00,0.00,22.40,22.40,0.00,0.00,0.00,0.00,79.40,55.20,647.88,4.39,0.00,0.00,0.00,0.05
2018-01-07 09:33:11,54.53,0.00,2.78,0.51,0.21,0.00,0.21,0.00,0.00,41.77,6.20,1976.20,2073.00,0.00,0.00,0.00,62.40,4941.60,0.00,5049.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,124.80,2167160,0,1687684,43.78,24756,445604,1811976,47.01,1416424,181852,214412,1127912,44284,2432,5820,10752,0,0,0.00,0,0.00,1,290,0.59,0.96,1.02,0,1.00,0.00,124.80,124.80,0.06,59.20,20.00,2.00,414.40,282.60,3491.77,26.34,0.00,0.00,0.00,0.29
2018-01-07 09:33:16,5.08,0.00,1.16,0.00,0.21,0.00,0.00,0.00,0.00,93.54,0.00,3003.00,2999.00,0.00,0.00,0.00,105.60,13.40,0.00,5387.60,0.00,0.00,0.00,0.00,7.40,0.00,7.40,0.00,211.20,2132868,0,1721976,44.67,24764,478572,1811976,47.01,1435480,197144,246932,1129380,44296,2408,5844,10752,0,0,0.00,0,0.00,0,287,0.54,0.94,1.01,0,7.40,0.00,211.20,28.54,0.00,0.22,0.11,0.08,754.40,499.00,6625.84,34.34,0.00,0.00,0.00,0.54
2018-01-07 09:33:21,2.05,0.00,0.72,0.82,0.20,0.00,0.10,0.00,0.00,96.11,0.00,1467.20,1591.80,0.00,0.00,0.00,11660.00,9.40,0.00,2380.80,0.00,0.00,0.00,0.00,96.40,0.00,96.40,0.00,23320.00,2115156,0,1739688,45.13,24772,495804,1811976,47.01,1444648,205164,205920,1129404,44580,2408,5844,10752,0,0,0.00,0,0.00,0,287,0.50,0.92,1.01,0,96.40,0.00,23320.00,241.91,3.52,36.56,0.31,2.96,396.00,330.40,3460.51,23.62,0.00,0.00,0.00,0.28
2018-01-07 09:33:26,1.63,0.00,0.51,21.33,0.10,0.00,0.10,0.00,0.00,76.33,0.00,905.40,1250.00,0.00,0.00,0.00,42708.00,11.00,0.00,1339.40,0.00,0.00,0.00,0.00,358.60,0.00,358.60,0.00,85416.00,2105060,0,1749784,45.39,24780,505564,1811976,47.01,1449820,209792,2328,1129404,44856,2408,5844,10752,0,0,0.00,0,0.00,0,287,0.54,0.93,1.01,0,358.60,0.00,85416.00,238.19,67.97,189.55,1.41,50.40,222.80,205.80,1947.53,14.90,0.00,0.00,0.00,0.16
2018-01-07 09:33:31,1.72,0.00,0.30,0.10,0.10,0.00,0.10,0.00,0.00,97.68,0.00,761.20,746.40,0.00,0.00,0.00,26.40,262.60,0.00,1265.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,52.80,2094768,0,1760076,45.66,24788,512900,1811976,47.01,1456584,213260,9820,1132160,45072,2408,5848,10752,0,0,0.00,0,0.00,0,287,0.49,0.91,1.00,0,0.40,0.00,52.80,132.00,0.00,2.00,2.00,0.08,173.60,169.00,1500.46,13.11,0.00,0.00,0.00,0.12
2018-01-07 09:33:36,0.91,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,98.99,0.00,773.80,701.00,0.00,0.00,0.00,4.80,11.40,0.00,1000.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,2088264,0,1766580,45.83,24796,519812,1811976,47.01,1459676,216508,16732,1131476,45204,2408,5848,10752,0,0,0.00,0,0.00,0,287,0.45,0.90,1.00,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,159.40,153.80,1385.89,11.40,0.00,0.00,0.00,0.11
2018-01-07 09:33:41,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.09,0.00,582.80,510.80,0.00,0.00,0.00,11.20,8.40,0.00,731.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,22.40,2081396,0,1773448,46.01,24808,524384,1811976,47.01,1464084,218584,21328,1133528,45344,2408,5852,10752,0,0,0.00,0,0.00,1,287,0.42,0.88,0.99,0,0.60,0.00,22.40,37.33,0.00,0.00,0.00,0.00,104.80,105.40,893.00,8.65,0.00,0.00,0.00,0.07
2018-01-07 09:33:46,1.12,0.00,0.41,0.00,0.10,0.00,0.10,0.00,0.00,98.27,1.20,1279.00,1429.80,0.00,0.00,0.00,4.80,29.20,0.00,1454.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,2074116,0,1780728,46.19,24816,531212,1811976,47.01,1468088,221760,28168,1133936,45484,2456,5852,10752,0,0,0.00,0,0.00,1,293,0.38,0.87,0.99,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,281.20,579.60,1376.31,3719.76,0.00,0.00,0.00,0.30
