timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 00:57:27,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,99.40,0.40,268.40,161.80,0.00,0.00,0.00,67.20,738.40,0.00,3864.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,134.40,7079412,0,1096196,13.41,29416,399256,1064056,13.02,719936,266376,71396,557648,41788,2008,3372,18156,0,0,0.00,0,0.00,1,238,2.31,1.64,1.41,0,6.00,0.00,134.40,22.40,0.00,0.00,0.00,0.00,3.00,4.40,0.32,0.67,0.00,0.00,0.00,0.00
2018-01-07 00:57:32,1.51,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,97.28,26.40,545.20,477.80,0.00,0.00,0.00,14.40,11061.60,0.00,2912.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,28.80,7068712,0,1106896,13.54,29424,399292,1080116,13.21,730120,266404,71400,567968,41776,2120,4420,18156,0,0,0.00,0,0.00,0,244,2.12,1.61,1.41,0,1.20,0.00,28.80,24.00,0.00,0.00,0.00,0.00,15.20,16.60,3.18,2.86,0.00,0.00,0.00,0.00
2018-01-07 00:57:37,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.80,0.00,230.40,147.00,0.00,0.00,0.00,4073.60,8.00,0.00,34.40,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,547.20,7068736,0,1106872,13.54,29436,399316,1080116,13.21,730248,266424,51100,567928,41852,2064,4396,18156,0,0,0.00,0,0.00,0,244,1.95,1.58,1.40,1,3.20,0.00,649.60,203.00,0.12,2.25,0.25,0.08,4.80,6.00,0.36,1.00,0.00,0.00,0.00,0.00
2018-01-07 00:57:42,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,99.60,0.00,230.00,202.80,0.00,0.00,0.00,3184.00,9.00,0.00,33.60,0.00,0.00,0.00,0.00,55.40,0.00,55.40,0.00,13968.00,7068864,0,1106744,13.54,29436,399352,1080116,13.21,730256,266460,35280,567928,41880,2064,4396,18156,0,0,0.00,0,0.00,0,244,1.80,1.56,1.39,0,55.00,0.00,13865.60,252.10,1.68,32.71,0.28,1.52,4.60,6.00,0.35,1.08,0.00,0.00,0.00,0.00
2018-01-07 00:57:47,0.60,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,99.10,2.80,296.20,229.80,0.00,0.00,0.00,12.00,340.00,0.00,224.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,24.00,7068020,0,1107588,13.55,29444,399636,1080116,13.21,730620,266736,35568,568396,42136,2064,4396,18156,0,0,0.00,0,0.00,4,249,1.65,1.53,1.39,0,1.20,0.00,24.00,20.00,0.00,0.67,0.67,0.08,24.60,27.80,53.79,107.31,0.00,0.00,0.00,0.01
2018-01-07 00:57:52,95.09,0.00,3.71,0.50,0.00,0.00,0.10,0.00,0.00,0.60,15.00,1198.20,918.20,0.00,0.00,0.00,7023.20,11784.00,0.00,4539.60,0.00,0.00,0.00,0.00,56.00,0.00,56.00,0.00,14046.40,6833352,0,1342256,16.42,29456,400156,1520992,18.60,960220,267108,1216,799848,42516,2400,5556,18156,0,0,0.00,0,0.00,4,287,1.52,1.51,1.38,0,56.00,0.00,14046.40,250.83,1.84,32.91,0.39,2.16,16.80,20.20,21.92,2.51,0.00,0.00,0.00,0.00
2018-01-07 00:57:57,97.19,0.00,2.61,0.00,0.00,0.00,0.10,0.00,0.00,0.10,4.40,1564.00,935.20,0.00,0.00,0.00,76.00,1337.80,0.00,492.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,152.00,6544900,0,1630708,19.95,29468,400420,1688196,20.65,1249728,267368,1416,1087212,42568,2520,6216,18156,0,0,0.00,0,0.00,4,301,1.64,1.53,1.39,0,1.60,0.00,152.00,95.00,0.00,1.50,0.50,0.08,13.40,18.00,6.59,2.47,0.00,0.00,0.00,0.00
2018-01-07 00:58:02,80.64,0.00,2.61,0.00,0.00,0.00,0.00,0.00,0.00,16.75,11.80,1093.80,879.40,0.00,0.00,0.00,77.60,5131.60,0.00,27072.00,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,155.20,6946148,0,1229460,15.04,29476,432412,1476308,18.06,851116,267120,33152,656340,42104,2128,5096,18156,0,0,0.00,0,0.00,4,273,1.67,1.54,1.39,0,8.60,0.00,155.20,18.05,0.00,0.56,0.56,0.48,16.40,18.20,2.56,3.05,0.00,0.00,0.00,0.00
2018-01-07 00:58:07,97.70,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,1061.80,796.20,0.00,0.00,0.00,80.80,7005.80,0.00,3349.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,161.60,6714660,0,1460948,17.87,29488,432656,1588468,19.43,1078860,267412,33520,884024,42480,2384,5648,18156,0,0,0.00,0,0.00,5,288,1.85,1.58,1.40,0,1.20,0.00,161.60,134.67,0.01,5.33,4.00,0.48,14.60,19.00,2.98,27.64,0.00,0.00,0.00,0.00
2018-01-07 00:58:12,98.20,0.00,1.70,0.00,0.00,0.00,0.10,0.00,0.00,0.00,2.79,1526.95,1049.90,0.00,0.00,0.00,186.83,1462.87,0.00,1518.36,0.00,0.00,0.00,0.00,2.59,0.00,2.59,0.00,373.65,6508908,0,1666700,20.39,29500,432788,1691340,20.69,1284000,268440,32656,1090196,42856,2496,6216,18156,0,0,0.00,0,0.00,3,298,2.03,1.62,1.42,0,2.59,0.00,373.65,144.00,0.00,0.92,0.92,0.24,25.55,39.12,3.33,179.82,0.00,0.00,0.00,0.01
2018-01-07 00:58:17,86.80,0.00,2.80,0.00,0.10,0.00,0.00,0.00,0.00,10.30,13.00,1260.20,968.40,0.00,0.00,0.00,388.00,8134.60,0.00,28914.60,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,776.00,6847996,0,1327612,16.24,29508,464756,1454060,17.79,945404,269800,62912,721032,42836,2296,5260,18156,0,0,0.00,0,0.00,6,274,2.02,1.63,1.42,0,4.40,0.00,776.00,176.36,0.01,1.27,0.91,0.40,51.20,73.00,5.62,368.77,0.00,0.00,0.00,0.03
2018-01-07 00:58:22,94.19,0.00,3.90,0.00,0.00,0.00,0.80,0.00,0.00,1.10,7.40,1598.20,1816.20,0.00,0.00,0.80,3243.20,4581.80,0.00,4902.60,0.00,0.00,0.00,0.00,33.20,0.20,33.00,1.60,6486.40,6593752,0,1581856,19.35,29528,464132,1602756,19.60,1183116,284252,47472,973828,43096,2504,6048,18156,0,0,0.00,0,0.00,3,301,2.26,1.68,1.44,0,33.20,1.60,6486.40,195.42,0.04,1.13,0.72,2.40,723.20,711.80,3218.76,3042.32,0.00,0.00,0.00,0.26
2018-01-07 00:58:27,62.22,0.00,2.12,0.00,0.00,0.00,0.40,0.00,0.00,35.25,6.20,1387.60,2096.40,0.00,0.00,0.00,3443.20,3039.40,0.00,17132.00,0.00,0.00,0.00,0.00,35.20,0.00,35.20,0.00,6886.40,6761108,0,1414500,17.30,29552,481748,1529700,18.71,999944,301340,47996,790184,43360,2432,5408,18156,0,0,0.00,0,0.00,6,281,2.24,1.69,1.44,0,35.20,0.00,6886.40,195.64,0.05,1.48,1.05,3.68,821.00,654.20,3558.56,3460.34,0.00,0.00,0.00,0.29
2018-01-07 00:58:32,97.50,0.00,2.30,0.00,0.00,0.00,0.20,0.00,0.00,0.00,6.00,1342.20,1212.60,0.00,0.00,0.00,288.00,5422.20,0.00,4415.60,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,576.00,6634704,0,1540904,18.85,29564,497596,1545956,18.91,1122820,303264,62652,898880,43904,2464,5792,18156,0,0,0.00,0,0.00,9,305,2.30,1.71,1.45,0,7.00,0.00,576.00,82.29,0.02,2.29,1.26,0.88,348.20,246.00,2419.73,204.28,0.00,0.00,0.00,0.20
2018-01-07 00:58:37,97.30,0.00,2.50,0.00,0.00,0.00,0.10,0.00,0.00,0.10,4.20,2282.60,1141.60,0.00,0.00,1.60,4004.80,4486.20,0.00,3992.20,0.00,0.00,0.00,0.00,34.80,0.40,34.40,3.20,8009.60,6569324,0,1606284,19.65,29576,534108,1562092,19.11,1165244,325424,79436,927340,44892,2560,5872,18156,0,0,0.00,0,0.00,8,306,2.36,1.73,1.46,0,34.80,3.20,8009.60,230.25,0.62,17.68,0.37,1.28,166.40,162.60,837.45,636.40,0.00,0.00,0.00,0.07
2018-01-07 00:58:42,82.23,0.00,2.51,0.00,0.10,0.00,0.10,0.00,0.00,15.06,5.40,2891.60,1111.60,0.00,0.00,0.00,93.60,2305.60,0.00,11923.20,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,187.20,6713912,0,1461696,17.88,29584,555016,1469260,17.97,985416,361296,99892,762428,45492,2552,5416,18156,0,0,0.00,0,0.00,2,283,2.41,1.75,1.47,0,2.20,0.00,187.20,85.09,0.00,0.36,0.36,0.08,22.20,29.40,2.48,105.25,0.00,0.00,0.00,0.01
2018-01-07 00:58:47,94.39,0.00,3.10,0.00,0.00,0.00,0.30,0.00,0.00,2.20,9.40,1993.20,1384.00,0.00,0.00,7.20,1803.20,7648.00,0.00,13397.40,0.00,0.00,0.00,0.00,20.00,0.80,19.20,14.40,3606.40,6714412,0,1461196,17.87,29620,546896,1475896,18.05,962632,383936,84808,769936,45008,2336,5440,18156,0,0,0.00,0,0.00,6,279,2.38,1.76,1.47,0,20.00,14.40,3606.40,181.04,0.02,1.08,0.72,1.44,269.20,395.80,21.35,2977.43,0.00,0.00,0.00,0.24
2018-01-07 00:58:52,95.90,0.00,3.20,0.00,0.00,0.00,0.80,0.00,0.00,0.10,9.00,2021.20,2302.00,0.00,0.00,6.40,2932.80,3788.80,0.00,6945.80,0.00,0.00,0.00,0.00,28.00,1.60,26.40,12.80,5865.60,6583148,0,1592460,19.48,29648,561572,1550256,18.96,1074248,402544,87812,885752,45308,2528,5776,18156,0,0,0.00,0,0.00,6,296,2.43,1.78,1.48,0,28.00,12.80,5865.60,209.94,0.19,6.80,0.80,2.24,1221.80,1086.40,6535.72,4097.34,0.00,0.00,0.00,0.54
