timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 08:10:49,1.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,98.50,2.00,399.00,291.60,0.00,0.00,0.00,40.80,789.80,0.00,24390.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,81.60,3056084,0,798760,20.72,11492,151936,988400,25.64,657156,65536,46472,559272,33824,1992,3436,10752,0,0,0.00,0,0.00,1,235,1.30,0.98,1.08,0,0.80,0.00,81.60,102.00,0.00,1.00,1.00,0.08,7.20,8.00,0.79,1.03,0.00,0.00,0.00,0.00
2018-01-07 08:10:54,3.12,0.00,1.21,0.00,0.10,0.00,0.00,0.00,0.00,95.56,28.80,590.80,548.00,0.00,0.00,0.00,3143.20,15457.60,0.00,4930.20,0.00,0.00,0.00,0.00,25.60,0.00,25.60,0.00,6286.40,3047168,0,807676,20.95,11504,151968,999512,25.93,665752,65556,30924,567848,33692,2040,4452,10752,0,0,0.00,0,0.00,1,241,1.28,0.98,1.08,0,25.60,0.00,6286.40,245.56,0.58,22.53,0.34,0.88,14.80,16.00,3.15,2.82,0.00,0.00,0.00,0.00
2018-01-07 08:10:59,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,233.00,147.60,0.00,0.00,0.00,10.40,8.00,0.00,43.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,20.80,3045120,0,809724,21.01,11512,151992,999512,25.93,667612,65580,30948,569692,33688,2040,4452,10752,0,0,0.00,0,0.00,1,241,1.18,0.97,1.07,0,0.80,0.00,20.80,26.00,0.00,0.00,0.00,0.00,4.40,5.40,0.33,0.95,0.00,0.00,0.00,0.00
2018-01-07 08:11:04,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.80,0.00,240.20,181.40,0.00,0.00,0.00,2971.20,8.20,0.00,30.40,0.00,0.00,0.00,0.00,31.00,0.00,31.00,0.00,5942.40,3045120,0,809724,21.01,11520,152016,999512,25.93,667616,65608,16128,569692,33688,2040,4452,10752,0,0,0.00,0,0.00,1,241,1.08,0.95,1.07,0,31.00,0.00,5942.40,191.69,0.90,29.16,0.31,0.96,3.80,5.20,0.30,1.02,0.00,0.00,0.00,0.00
2018-01-07 08:11:09,26.43,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,71.96,14.40,736.80,477.40,0.00,0.00,0.00,2960.80,5834.00,0.00,1774.80,0.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,5921.60,2936152,0,918692,23.83,11532,152580,1285944,33.36,774040,66120,2356,676048,34520,2344,5284,10752,0,0,0.00,0,0.00,8,275,0.99,0.94,1.06,0,24.00,0.00,5921.60,246.73,0.55,23.00,0.93,2.24,21.60,20.60,73.88,2.43,0.00,0.00,0.00,0.01
2018-01-07 08:11:14,97.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.20,7.80,1232.40,764.40,0.00,0.00,0.00,308.80,7391.20,0.00,4142.00,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,617.60,2541488,0,1313356,34.07,11544,152828,1589204,41.23,1167484,66248,1204,1069468,34448,2504,6196,10752,0,0,0.00,0,0.00,4,302,1.16,0.97,1.07,0,3.80,0.00,617.60,162.53,0.01,1.89,0.42,0.16,15.80,20.20,4.81,2.56,0.00,0.00,0.00,0.00
2018-01-07 08:11:19,91.80,0.00,1.40,0.10,0.00,0.00,0.10,0.00,0.00,6.60,4.20,1341.20,795.60,0.00,0.00,0.00,58.40,608.80,0.00,14436.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,116.80,2741768,0,1113076,28.87,11552,179340,1328592,34.47,968168,66084,27548,843204,34268,2312,5288,10752,0,0,0.00,0,0.00,1,264,1.22,0.99,1.08,0,2.00,0.00,116.80,58.40,0.00,0.00,0.00,0.00,12.80,16.60,1.25,2.77,0.00,0.00,0.00,0.00
2018-01-07 08:11:24,56.20,0.00,1.80,0.00,0.10,0.00,0.00,0.00,0.00,41.90,9.40,808.00,685.40,0.00,0.00,0.00,50.40,8050.80,0.00,15692.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,100.80,2824624,0,1030220,26.73,11564,179540,1316520,34.15,885572,66080,27724,760540,34400,2336,5512,10752,0,0,0.00,0,0.00,6,279,1.37,1.02,1.09,0,1.20,0.00,100.80,84.00,0.00,4.00,4.00,0.48,10.20,11.00,2.00,1.69,0.00,0.00,0.00,0.00
2018-01-07 08:11:29,89.97,0.00,2.71,0.00,0.00,0.00,0.10,0.00,0.00,7.22,6.80,1443.40,1233.20,0.00,0.00,0.80,132.00,4573.00,0.00,3254.00,0.00,0.00,0.00,0.00,2.40,0.20,2.20,1.60,264.00,2563408,0,1291436,33.50,11576,179828,1520972,39.46,1144444,66804,27608,1019836,34660,2536,6148,10752,0,0,0.00,0,0.00,3,303,1.42,1.04,1.09,0,2.40,1.60,264.00,110.67,0.00,1.67,1.00,0.24,250.20,226.60,1340.08,103.49,0.00,0.00,0.00,0.11
2018-01-07 08:11:34,67.07,0.00,2.51,0.00,0.00,0.00,0.70,0.00,0.00,29.72,10.80,1315.20,1634.60,0.00,0.00,0.00,184.00,6479.80,0.00,18827.80,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,368.00,2668668,0,1186176,30.77,11588,193584,1403928,36.42,1038624,67536,40592,900992,35048,2576,5924,10752,0,0,0.00,0,0.00,0,308,1.54,1.07,1.10,0,3.20,0.00,368.00,115.00,0.00,0.75,0.50,0.16,600.00,483.20,3774.13,125.73,0.00,0.00,0.00,0.31
2018-01-07 08:11:39,2.82,0.00,0.60,0.00,0.00,0.00,0.20,0.00,0.00,96.38,0.00,805.20,1020.80,0.00,0.00,0.00,2198.40,17.60,0.00,1844.40,0.00,0.00,0.00,0.00,37.60,0.00,37.60,0.00,4396.80,2657584,0,1197260,31.06,11620,193608,1403928,36.42,1038876,77800,29620,911448,35052,2576,5952,10752,0,0,0.00,0,0.00,1,308,1.42,1.05,1.10,0,37.60,0.00,4396.80,116.94,0.04,1.17,0.49,1.84,227.60,319.60,47.27,2087.80,0.00,0.00,0.00,0.17
2018-01-07 08:11:44,23.19,0.00,0.80,0.00,0.10,0.00,0.10,0.00,0.00,75.80,0.00,789.60,982.40,0.00,0.00,0.00,1315.20,30.60,0.00,1761.80,0.00,0.00,0.00,0.00,19.80,0.00,19.80,0.00,2630.40,2621476,0,1233368,32.00,11632,214600,1403928,36.42,1068688,84424,44236,926852,35552,2432,5984,10752,0,0,0.00,0,0.00,3,290,1.31,1.03,1.09,0,19.80,0.00,2630.40,132.85,0.02,1.25,0.69,1.36,211.60,269.00,384.28,1329.27,0.00,0.00,0.00,0.11
2018-01-07 08:11:49,97.60,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2.80,1588.80,1141.80,0.00,0.00,0.00,3086.40,4829.80,0.00,3248.40,0.00,0.00,0.00,0.00,26.60,0.00,26.60,0.00,6145.60,2533088,0,1321756,34.29,11636,228128,1494652,38.77,1148232,92684,42472,1001132,35820,2536,6128,10752,0,0,0.00,0,0.00,2,303,1.28,1.03,1.09,1,26.60,0.00,6145.60,231.04,0.43,16.09,0.51,1.36,47.20,65.60,4.17,342.65,0.00,0.00,0.00,0.03
2018-01-07 08:11:54,94.99,0.00,2.30,0.00,0.00,0.00,0.40,0.00,0.00,2.30,3.60,3320.00,1177.80,0.00,0.00,0.00,106.40,476.00,0.00,12672.00,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,240.00,2702936,0,1151908,29.88,11652,261000,1247924,32.37,934060,136860,75084,798352,36660,2384,5392,10752,0,0,0.00,0,0.00,1,276,1.34,1.05,1.09,0,5.80,0.00,240.00,41.38,0.01,1.10,0.83,0.48,13.40,18.20,1.26,45.15,0.00,0.00,0.00,0.00
2018-01-07 08:11:59,89.36,0.00,3.82,0.00,0.00,0.00,0.20,0.00,0.00,6.63,15.20,1638.00,1533.40,0.00,0.00,0.00,246.40,11206.00,0.00,16648.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,492.80,2672852,0,1181992,30.66,11664,250856,1392068,36.11,957944,142452,63980,837828,36376,2392,5660,10752,0,0,0.00,0,0.00,6,292,1.63,1.12,1.12,0,4.00,0.00,492.80,123.20,0.00,0.80,0.80,0.32,367.80,299.60,2203.66,447.58,0.00,0.00,0.00,0.18
2018-01-07 08:12:04,96.60,0.00,2.50,0.00,0.00,0.00,0.70,0.00,0.00,0.20,5.40,1775.80,2157.80,0.00,0.00,5.60,1236.80,4700.80,0.00,5737.20,0.00,0.00,0.00,0.00,19.00,1.40,17.60,11.20,2473.60,2552892,0,1301952,33.77,11676,278764,1416592,36.75,1061220,158896,86772,929832,36792,2480,5980,10752,0,0,0.00,0,0.00,7,297,2.22,1.25,1.16,0,19.00,11.20,2473.60,130.78,0.02,1.22,1.18,2.24,798.20,809.60,3334.78,3292.56,0.00,0.00,0.00,0.27
