timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 20:41:07,0.10,0.00,0.10,0.20,0.10,0.00,0.00,0.00,0.00,99.50,0.20,153.00,95.80,0.00,0.00,0.00,49.60,16.60,0.00,42.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,99.20,7460996,0,714612,8.74,25376,311704,608212,7.44,406944,210576,312,280456,33276,1600,2392,18156,0,0,0.00,0,0.00,1,186,1.80,0.95,0.45,0,1.00,0.00,99.20,99.20,0.01,8.00,4.00,0.40,1.00,2.00,0.10,0.32,0.00,0.00,0.00,0.00
2018-01-06 20:41:12,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,145.20,88.00,0.00,0.00,0.00,0.00,11.60,0.00,19.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7460872,0,714736,8.74,25376,311724,608212,7.44,406944,210588,332,280460,33276,1600,2392,18156,0,0,0.00,0,0.00,1,186,1.65,0.93,0.45,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.20,0.11,0.33,0.00,0.00,0.00,0.00
2018-01-06 20:41:17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,149.00,88.00,0.00,0.00,0.00,2.40,7.40,0.00,19.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,7460880,0,714728,8.74,25384,311748,608212,7.44,406956,210596,356,280460,33276,1592,2392,18156,0,0,0.00,0,0.00,1,185,1.52,0.92,0.45,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,1.00,2.00,0.10,0.32,0.00,0.00,0.00,0.00
2018-01-06 20:41:22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,140.00,87.20,0.00,0.00,0.00,4.80,8.00,0.00,21.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,7460896,0,714712,8.74,25384,311772,608212,7.44,406980,210616,368,280460,33232,1592,2392,18156,0,0,0.00,0,0.00,1,185,1.40,0.90,0.45,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.00,2.00,0.10,0.32,0.00,0.00,0.00,0.00
2018-01-06 20:41:27,0.20,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.70,0.00,145.40,88.20,0.00,0.00,0.00,5.60,7.40,0.00,18.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,7460912,0,714696,8.74,25392,311796,608212,7.44,406988,210632,396,280460,33232,1592,2392,18156,0,0,0.00,0,0.00,1,185,1.29,0.89,0.44,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,1.00,2.00,0.10,0.32,0.00,0.00,0.00,0.00
2018-01-06 20:41:32,2.01,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,97.39,14.40,339.40,293.60,0.00,0.00,0.80,43.20,7729.20,0.00,2472.80,0.00,0.00,0.00,0.00,7.00,0.20,6.80,1.60,86.40,7456032,0,719576,8.80,25396,311824,622676,7.62,411272,210668,164,284744,33144,1616,2888,18156,0,0,0.00,0,0.00,1,188,1.18,0.87,0.44,0,7.00,1.60,86.40,12.57,0.00,0.00,0.00,0.00,8.40,9.60,1.65,1.52,0.00,0.00,0.00,0.00
2018-01-06 20:41:37,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,99.80,0.00,151.00,92.20,0.00,0.00,0.00,44.00,7.60,0.00,27.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,88.00,7456032,0,719576,8.80,25404,311848,622676,7.62,411312,210688,56,284744,33144,1616,2888,18156,0,0,0.00,0,0.00,1,188,1.09,0.86,0.44,0,1.20,0.00,88.00,73.33,0.02,16.00,6.67,0.80,3.00,4.00,0.23,0.61,0.00,0.00,0.00,0.00
2018-01-06 20:41:42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,148.00,92.00,0.00,0.00,0.00,4.80,7.80,0.00,25.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,7456032,0,719576,8.80,25412,311864,622676,7.62,411312,210688,84,284748,33144,1616,2888,18156,0,0,0.00,0,0.00,1,188,1.00,0.84,0.44,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,2.60,3.60,0.21,0.59,0.00,0.00,0.00,0.00
2018-01-06 20:41:47,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,154.60,95.00,0.00,0.00,0.00,0.00,8.00,0.00,24.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7456032,0,719576,8.80,25412,311896,622676,7.62,411336,210724,120,284752,33144,1616,2888,18156,0,0,0.00,0,0.00,1,188,0.92,0.83,0.43,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,3.40,0.19,0.57,0.00,0.00,0.00,0.00
2018-01-06 20:41:52,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,162.40,108.00,0.00,0.00,0.00,13.60,9.00,0.00,47.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,27.20,7456104,0,719504,8.80,25424,311916,622676,7.62,410992,210744,156,284392,33112,1576,2888,18156,0,0,0.00,0,0.00,1,183,0.85,0.81,0.43,0,0.80,0.00,27.20,34.00,0.00,2.00,1.00,0.08,2.40,3.40,0.19,0.57,0.00,0.00,0.00,0.00
